type,words,latency,exec_time,exec_time_err,power,power_err,ii,lut,reg,bram,dsp
Global,0,0,86.080871,0.231732,4.36221,0.004603,142,2269,2808,1,0
L2,16,2,18.621654,0.011655,4.387916,0.001049,6,11089,13454,4,0
L2,32,1,19.398723,0.007303,4.429844,0.003642,4,17078,21645,4,0
L2,32,2,13.802983,0.007781,4.454386,0.004295,6,19667,22751,4,0
L2,32,3,14.950566,0.008477,4.440866,0.001371,7,18738,21613,4,0
L2,32,4,14.952142,0.007095,4.441545,0.002734,8,17699,21623,4,0
L2,32,5,15.995884,0.00705,4.441185,0.003059,9,17708,21627,4,0
L2,32,6,17.085856,0.008685,4.441959,0.001375,10,18238,21662,4,0
L2,32,7,18.119352,0.004401,4.443665,0.003774,11,18241,21666,4,0
L2,32,8,19.184848,0.006928,4.445528,0.001278,12,18242,21663,4,0
L2,32,9,20.183896,0.006874,4.442751,0.001796,13,19718,21638,4,0
L2,32,10,21.289895,0.002344,4.435217,0.000562,14,17729,21649,4,0
L2,32,11,22.323196,0.011094,4.427637,0.000444,15,17705,21642,4,0
L2,32,12,23.374818,0.006149,4.427461,0.001674,16,17190,21609,4,0
L2,32,13,24.564631,0.006823,4.428093,0.00158,17,17722,21696,4,0
L2,32,14,26.158229,0.008933,4.427018,0.00113,18,17733,21712,4,0
L2,32,15,26.595559,0.008767,4.427939,0.004,19,17734,21713,4,0
L2,64,2,11.47492,0.007717,4.595175,0.000625,6,34060,41439,4,0
L1,16,2,18.619967,0.010995,4.395109,0.000526,6,11150,16111,4,0
L1,32,1,17.942606,0.009622,4.485825,0.002307,4,22263,26834,4,0
L1,32,2,13.799372,0.010183,4.501832,0.001379,6,23740,27972,4,0
L1,32,3,14.949671,0.006269,4.47441,0.001394,7,22853,26773,4,0
L1,32,4,14.94883,0.003686,4.479157,0.002439,8,22847,26777,4,0
L1,32,5,16.000341,0.009341,4.466369,0.002874,9,22853,26778,4,0
L1,32,6,17.077862,0.004137,4.465736,0.001743,10,22862,26781,4,0
L1,32,7,18.122111,0.008671,4.460357,0.00124,11,22858,26781,4,0
L1,32,8,19.173234,0.008711,4.462695,0.00183,12,22855,26782,4,0
L1,32,9,20.182697,0.004643,4.459779,0.001844,13,22844,26788,4,0
L1,32,10,21.292452,0.003643,4.45176,0.001435,14,22855,26793,4,0
L1,32,11,22.325683,0.008419,4.455954,0.001629,15,22851,26794,4,0
L1,32,12,23.37826,0.005002,4.454297,0.001743,16,22850,26794,4,0
L1,32,13,24.560612,0.005421,4.449801,0.001085,17,22856,26858,4,0
L1,32,14,26.172398,0.008022,4.443943,0.001804,18,22869,26859,4,0
L1,32,15,26.596818,0.008462,4.449023,0.003314,19,22851,26859,4,0
L1,64,2,11.472905,0.008242,4.649134,0.002025,6,38206,51758,4,0
