type,words,sets,ports,latency,exec_time,exec_time_err,power,power_err,lut,reg,bram,dsp,in_l2_reqs,in_l2_hits,in_l1_reqs,in_l1_hits
Global,0,0,0,0,55.3067,0.39402,4.62412,0.01039,3733,5487,3,3,0,0,0,0
L2,32,1,1,5,45.40756,0.04724,4.55954,0.002,23169,35037,8,3,1069551616,1005832464,0,0
L2,32,1,1,7,43.35278,0.05194,4.55593,0.00177,23180,35108,8,3,1069551616,1005832464,0,0
L2,32,1,1,9,43.3673,0.06296,4.55311,0.0013,23197,35103,8,3,1069551616,1005832464,0,0
L2,32,1,1,11,43.4535,0.06471,4.55645,0.00247,23181,35108,8,3,1069551616,1005832464,0,0
L2,32,1,1,13,43.39138,0.04761,4.55686,0.00171,23238,35147,8,3,1069551616,1005832464,0,0
L2,32,1,1,15,43.36369,0.03756,4.56181,0.00154,23215,35157,8,3,1069551616,1005832464,0,0
L2,32,1,1,17,43.41334,0.07224,4.55444,0.00079,22695,35144,8,3,1069551616,1005832464,0,0
L2,32,1,1,19,43.42457,0.05065,4.55898,0.00145,22709,35152,8,3,1069551616,1005832464,0,0
L2,64,1,1,6,29.33153,0.03554,4.60039,0.00639,24191,45318,8,3,1069551616,1038181136,0,0
L2,64,1,1,11,29.29871,0.01218,4.61098,0.00492,24222,45359,8,3,1069551616,1038181136,0,0
L2,64,1,1,16,29.29233,0.0103,4.61382,0.00116,24241,45353,8,3,1069551616,1038181136,0,0
L2,16,2,1,1,34.20807,0.01453,4.49436,0.00167,14361,28137,8,3,1069551616,1065365504,0,0
L2,16,2,1,6,34.2008,0.00889,4.49473,0.00234,14361,28137,8,3,1069551616,1065365504,0,0
L2,16,2,1,11,12.81805,0.01247,4.49304,0.0101,14689,28719,8,3,1069551616,1065365504,0,0
L2,16,2,1,16,12.81614,0.01319,4.49249,0.00509,14703,28761,8,3,1069551616,1065365504,0,0
L2,64,2,1,1,32.8079,0.01451,4.62296,0.00463,21051,39533,36.5,3,1069551616,1068505088,0,0
L2,64,2,1,6,11.41773,0.01022,4.63289,0.00946,22284,40133,36.5,3,1069551616,1068505088,0,0
L2,64,2,1,11,11.40553,0.00851,4.63036,0.00889,22285,40150,36.5,3,1069551616,1068505088,0,0
