type,words,l1_sets,l1_ways,l2_sets,l2_ways,ports,latency,exec_time,exec_time_err,power,power_err,lut,reg,bram,dsp
N,0,0,0,0,0,0,0,55.30669593811035,0.39401619365552365,4.624116527199412,0.010385602705702573,3733,5487,3,3
N,32,1,16,0,0,1,5,45.40755534172058,0.0472365879882234,4.559542337493219,0.002003233581816957,23169,35037,8,3
N,32,1,16,0,0,1,7,43.35277967453003,0.051937140727703834,4.555925690566442,0.0017682082682138744,23180,35108,8,3
N,32,1,16,0,0,1,9,43.367295837402345,0.06296086201557115,4.553107342630487,0.001296421183411973,23197,35103,8,3
N,32,1,16,0,0,1,11,43.45349822044373,0.0647102492792182,4.5564519075508985,0.002473003283393609,23181,35108,8,3
N,32,1,16,0,0,1,13,43.391375589370725,0.04760793440852189,4.556855772922355,0.0017097569833382856,23238,35147,8,3
N,32,1,16,0,0,1,15,43.36369071006775,0.037556196438025984,4.561812594828178,0.0015379092053554257,23215,35157,8,3
N,32,1,16,0,0,1,17,43.413336181640624,0.0722390235654068,4.554437811211053,0.0007945342337329844,22695,35144,8,3
N,32,1,16,0,0,1,19,43.424565076828,0.050652671972135174,4.558983854129054,0.0014510852585404945,22709,35152,8,3
N,64,1,16,0,0,1,6,29.33153419494629,0.035540829306232924,4.600386944667237,0.006387299885204937,24191,45318,8,3
N,64,1,16,0,0,1,11,29.29871106147766,0.012180548259386728,4.610984362327597,0.004917515447330689,24222,45359,8,3
N,64,1,16,0,0,1,16,29.29232864379883,0.01029817612699422,4.613817453709784,0.0011635678020277614,24241,45353,8,3
N,16,2,16,0,0,1,1,34.208068656921384,0.014527709592059413,4.494356986716932,0.0016744268104549173,14361,28137,8,3
N,16,2,16,0,0,1,6,34.2007978439331,0.008891019272203088,4.494726307762103,0.0023438658849735273,14361,28137,8,3
N,16,2,16,0,0,1,11,12.818045377731323,0.012468328662139073,4.4930402253421775,0.010098286588790044,14689,28719,8,3
N,16,2,16,0,0,1,16,12.816139793395996,0.013190143170854277,4.492485769209412,0.005090562138044058,14703,28761,8,3
N,64,2,16,0,0,1,1,32.80789799690247,0.014507024315925394,4.622962476731276,0.004626341579875059,21051,39533,36.5,3
N,64,2,16,0,0,1,6,11.41772632598877,0.010221498252993795,4.632891572661918,0.009457033473669243,22284,40133,36.5,3
N,64,2,16,0,0,1,11,11.405526447296143,0.008510483071202519,4.630357444529283,0.00888986285947302,22285,40150,36.5,3
N,64,2,16,0,0,1,16,11.418917846679687,0.01727303314775689,4.6341299138215,0.024003535259351297,22341,40192,36.5,3
N,32,1,1,1,16,1,1,47.138368892669675,0.024540827047215805,4.529002116991452,0.005501130414482401,21500,36158,8,3
N,32,1,1,1,16,1,6,43.14783868789673,0.022431414484722523,4.541008608517265,0.0019276421266434937,22130,36306,8,3
N,32,1,1,1,16,1,11,41.146446561813356,0.01752071711539433,4.547619590203119,0.0026037434650674897,22650,36344,8,3
N,32,1,1,1,16,1,16,39.550775575637815,0.018624517524049564,4.559388297725948,0.0016346884643283458,23175,36413,8,3
N,32,1,1,1,16,2,1,42.9827383518219,0.021274700393088788,4.562227127106312,0.002022458873133959,24418,44734,8,6
N,32,1,1,1,16,2,6,38.2853497505188,0.008108691095711594,4.589367365760324,0.0027435852926845994,27956,43300,8,6
N,32,1,1,1,16,2,11,38.0328010559082,0.03418346305266933,4.597254543909459,0.003567467805732154,26720,43342,8,6
N,32,1,1,1,16,2,16,65.3272792339325,0.07096567983512274,4.607729898504099,0.010858302178334864,29524,43434,8,6
N,32,1,1,1,16,4,1,41.52805495262146,0.009318888957623414,4.610183835001565,0.001206964466007669,31577,50327,8,12
N,32,1,1,1,16,4,6,82.79969272613525,0.3469543893057496,4.626354840494288,0.012891314331791227,31592,51596,8,12
N,32,1,1,1,16,4,11,85.80594120025634,0.40901205655712153,4.622361795936639,0.015136394522505862,29453,47486,66,12
N,32,1,1,1,16,4,16,86.98436431884765,0.19619847883885663,4.6394242085092445,0.016967287898672696,31809,47617,66,12
N,32,1,1,1,16,8,1,52.66147508621216,0.00953053273474983,4.706410743094116,0.0035346313454115152,47486,66390,8,24
N,32,1,1,1,16,8,6,74.42808985710144,0.1423733405756247,4.724249417468701,0.018271071355738838,40826,59651,124,24
N,32,1,1,1,16,8,11,74.0448051929474,0.151877417093378,4.721537366500779,0.014195706112192145,41297,59897,124,24
N,32,1,1,1,16,8,16,75.37083611488342,0.17349537618682864,4.714191844750708,0.013659002449788429,40309,59913,132,24
N,16,1,1,2,16,2,1,10.013540601730346,0.010240403449511406,4.5021675828316585,0.008390926317359215,17237,33992,8,6
N,16,1,1,2,16,2,6,9.599108552932739,0.006307515216784483,4.515137268897249,0.007565145577570694,18216,33477,8,6
N,16,1,1,2,16,2,11,9.145179319381715,0.008645046548157653,4.511664836200636,0.005684086253407218,16987,33475,8,6
N,16,1,1,2,16,2,16,8.906233978271484,0.005767732634049775,4.5217168220240485,0.007872951601603886,18238,33473,8,6
N,16,1,1,2,16,4,1,11.425761556625366,0.01116946702828217,4.542341221566341,0.004145833239729058,22582,38866,8,12
N,16,1,1,2,16,4,6,10.899629878997803,0.004951694867904311,4.548659215667966,0.0023960706479614303,22526,38187,8,12
N,16,1,1,2,16,4,11,10.847580194473267,0.009303798755080516,4.571234052430249,0.0077556428018441415,23055,38134,8,12
N,16,1,1,2,16,4,16,10.722590589523316,0.004703090543350366,4.580820596145363,0.020060111222667792,22176,38355,38,12
N,16,1,1,2,16,8,1,19.443683671951295,0.01481832107552254,4.586738730621183,0.0015416366203611896,29059,47022,8,24
N,16,1,1,2,16,8,6,19.213821697235108,0.014489990086441225,4.644891923899136,0.0030776148529958825,34947,48732,8,24
N,16,1,1,2,16,8,11,18.88280577659607,0.008505785461690181,4.605663695777009,0.005188450443930014,30580,44385,68,24
