type,words,ports,latency,exec_time,exec_time_err,power,power_err,lut,reg,bram,dsp,a_l2_req,a_l2_hit,a_l1_req,a_l1_hit,b_l2_req,b_l2_hit,b_l1_req,b_l1_hit,c_l2_req,c_l2_hit
Global,0,0,0,31.9822,0.06004,4.3564,0.00439,3104,4292,1.5,3,0,0,0,0,0,0,0,0,0,0
L2,32,1,1,10.50342,0.00559,4.52882,0.00782,27019,50832,22.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1015808
L2,32,1,3,4.68804,0.00457,4.53517,0.00339,25398,50765,22.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1015808
L2,32,1,5,3.93502,0.00493,4.54092,0.00123,26098,50759,22.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1015808
L2,32,1,7,3.71699,0.00633,4.55663,0.00451,30534,50886,22.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1015808
L2,32,1,9,3.71702,0.00714,4.53162,0.00148,25800,50795,22.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1015808
L2,32,1,11,3.71939,0.00674,4.54011,0.00147,25775,50791,22.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1015808
L2,32,1,13,3.71834,0.00811,4.54695,0.01022,26522,51004,22.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1015808
L2,32,1,15,3.71668,0.00351,4.54609,0.00416,27514,52001,22.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1015808
L2,32,1,17,3.71559,0.00761,4.55771,0.00327,28609,51012,22.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1015808
L2,32,1,19,3.7135,0.00788,4.54729,0.00516,28036,50982,22.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1015808
L2,64,1,1,9.46384,0.00929,4.59464,0.00974,38687,71357,36.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1032192
L2,64,1,3,3.72876,0.00818,4.61902,0.00343,43217,71465,36.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1032192
L2,64,1,5,2.95682,0.00742,4.63062,0.00189,45125,71353,36.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1032192
L2,64,1,7,2.74481,0.00501,4.63547,0.01815,41817,71391,36.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1032192
L2,64,1,9,2.74408,0.00955,4.6258,0.00174,43209,71429,36.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1032192
L2,64,1,11,2.73776,0.00689,4.63563,0.00415,44206,71381,36.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1032192
L2,64,1,13,2.73658,0.00982,4.62944,0.00714,43067,73440,36.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1032192
L2,64,1,15,2.74261,0.00818,4.62755,0.00569,43067,73442,36.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1032192
L2,64,1,17,2.74024,0.00906,4.62954,0.0033,40584,71582,36.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1032192
L2,64,1,19,2.73905,0.00725,4.63578,0.00339,43662,73493,36.5,3,134217728,134215680,0,0,134217728,130023424,0,0,1048576,1032192
L1,32,1,1,3.99803,0.00578,4.51543,0.00316,27022,52019,22.5,3,2048,0,134217728,134215680,4194304,0,134217728,130023424,1048576,1015808
L1,32,1,3,3.72262,0.00609,4.52759,0.00325,27990,51991,22.5,3,2048,0,134217728,134215680,4194304,0,134217728,130023424,1048576,1015808
L1,32,1,5,3.7129,0.00738,4.53172,0.02619,27635,51932,22.5,3,2048,0,134217728,134215680,4194304,0,134217728,130023424,1048576,1015808
L1,32,1,7,3.72176,0.00405,4.52744,0.00342,27533,51957,22.5,3,2048,0,134217728,134215680,4194304,0,134217728,130023424,1048576,1015808
L1,32,1,9,3.71646,0.00602,4.54514,0.00522,30022,52014,22.5,3,2048,0,134217728,134215680,4194304,0,134217728,130023424,1048576,1015808
L1,32,1,11,3.71225,0.00778,4.5321,0.00446,28189,52040,22.5,3,2048,0,134217728,134215680,4194304,0,134217728,130023424,1048576,1015808
L1,32,1,13,3.71506,0.00751,4.52119,0.00417,28335,52175,22.5,3,2048,0,134217728,134215680,4194304,0,134217728,130023424,1048576,1015808
L1,32,1,15,3.71386,0.00916,4.5358,0.00311,28906,52182,22.5,3,2048,0,134217728,134215680,4194304,0,134217728,130023424,1048576,1015808
L1,32,1,17,3.71278,0.00811,4.52895,0.0016,29461,52196,22.5,3,2048,0,134217728,134215680,4194304,0,134217728,130023424,1048576,1015808
L1,32,1,19,3.70974,0.00614,4.5363,0.00332,29839,52205,22.5,3,2048,0,134217728,134215680,4194304,0,134217728,130023424,1048576,1015808
L1,64,1,1,2.85734,0.00635,4.57529,0.00313,43146,73405,36.5,3,2048,0,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
L1,64,1,3,2.73928,0.00705,4.60396,0.00234,44453,73488,36.5,3,2048,0,134217728,134215680,2097152,0,134217728,130023424,1048576,1032192
